ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status,Transport_Score,Amenities_Count,Accessibility_Score,Size_Category
211829,West Bengal,Durgapur,Locality_241,Independent House,2,964,92.62,9607.883817427386,2005,Semi-furnished,13,28,20,2,5,Low,No,No,Garden,East,Owner,Under_Construction,1,1,8,Medium
41914,Jharkhand,Ranchi,Locality_20,Independent House,1,2096,444.54,21208.969465648854,2003,Unfurnished,25,25,22,1,4,Medium,Yes,No,"Garden, Playground, Gym, Pool",West,Owner,Under_Construction,2,4,7,Large
19488,West Bengal,Kolkata,Locality_141,Villa,1,4198,491.0,11696.045736064792,2006,Unfurnished,15,10,19,5,2,Low,No,Yes,"Clubhouse, Playground, Garden, Pool, Gym",East,Broker,Ready_to_Move,1,5,8,Large
209920,Jharkhand,Jamshedpur,Locality_185,Apartment,3,577,332.28,57587.52166377816,2006,Unfurnished,2,9,19,5,2,High,Yes,No,"Playground, Garden, Gym",North,Owner,Under_Construction,3,3,10,Small
216309,Uttarakhand,Haridwar,Locality_37,Villa,3,1008,31.83,3157.7380952380954,2016,Semi-furnished,6,8,9,9,6,High,No,No,"Clubhouse, Garden, Pool",North,Broker,Under_Construction,3,3,18,Medium
66119,Jharkhand,Ranchi,Locality_150,Independent House,1,1254,33.05,2635.5661881977667,2002,Semi-furnished,29,21,23,5,8,Medium,Yes,Yes,Clubhouse,South,Broker,Ready_to_Move,2,1,15,Medium
128705,Bihar,Patna,Locality_308,Independent House,3,3936,341.93,8687.24593495935,2011,Semi-furnished,18,6,14,2,3,Low,Yes,Yes,Gym,West,Builder,Ready_to_Move,1,1,6,Large
128474,Kerala,Kochi,Locality_391,Apartment,4,3326,71.96,2163.559831629585,2021,Furnished,17,29,4,6,7,Medium,Yes,No,Gym,North,Owner,Under_Construction,2,1,15,Large
209722,Maharashtra,Pune,Locality_469,Apartment,5,1180,351.45,29783.898305084746,2023,Semi-furnished,9,5,2,6,1,Low,No,No,"Garden, Playground, Gym, Clubhouse",West,Broker,Under_Construction,1,4,8,Medium
151531,Uttar Pradesh,Lucknow,Locality_1,Independent House,4,4423,369.06,8344.110332353606,1997,Furnished,10,27,28,6,1,Medium,Yes,No,"Pool, Playground, Garden",East,Builder,Ready_to_Move,2,3,9,Large
83910,Madhya Pradesh,Indore,Locality_333,Apartment,1,1618,293.4,18133.498145859085,2012,Semi-furnished,13,4,13,10,6,Medium,Yes,No,"Playground, Gym, Garden, Pool",North,Builder,Ready_to_Move,2,4,18,Large
41131,Madhya Pradesh,Indore,Locality_172,Independent House,5,3774,250.89,6647.853736089031,2018,Furnished,13,14,7,4,2,Medium,No,No,"Playground, Pool, Garden",West,Broker,Under_Construction,2,3,8,Large
149605,Haryana,Faridabad,Locality_155,Independent House,2,3522,281.0,7978.421351504827,2012,Semi-furnished,14,14,13,3,10,High,Yes,No,"Pool, Garden, Gym, Clubhouse, Playground",North,Owner,Ready_to_Move,3,5,16,Large
157875,Uttar Pradesh,Lucknow,Locality_104,Independent House,1,3472,315.13,9076.324884792626,2012,Unfurnished,7,22,13,9,7,Medium,Yes,No,Playground,South,Builder,Ready_to_Move,2,1,18,Large
39846,Jharkhand,Ranchi,Locality_297,Independent House,1,3943,47.15,1195.79000760842,2023,Unfurnished,18,6,2,7,5,Medium,Yes,No,"Pool, Garden, Playground, Gym",South,Owner,Ready_to_Move,2,4,14,Large
115484,Delhi,New Delhi,Locality_212,Villa,2,3679,258.11,7015.765153574341,1992,Furnished,12,10,33,3,2,Medium,Yes,No,"Gym, Clubhouse, Garden, Playground, Pool",South,Owner,Under_Construction,2,5,7,Large
213335,Maharashtra,Pune,Locality_281,Independent House,3,4053,288.88,7127.559832223044,2012,Semi-furnished,22,7,13,1,7,High,No,No,Gym,West,Broker,Under_Construction,3,1,11,Large
34857,Jharkhand,Jamshedpur,Locality_145,Independent House,2,1767,284.63,16108.092812676854,2012,Semi-furnished,16,24,13,1,2,High,Yes,No,"Clubhouse, Gym, Garden, Pool, Playground",East,Builder,Ready_to_Move,3,5,6,Large
